bait_locus	prey_locus
JW3363	JW2433
JW3363	JW2947
JW3363	JW3363
JW3363	JW3381
JW3363	JW5300
JW3363	JW5702
JW3363	JW5772
JW3370	JW3370
JW3372	JW3372
JW3373	JW0957
JW3373	JW3740
JW3373	JW4342
JW3381	JW0594
JW3381	JW1389
JW3381	JW2433
JW3381	JW2669
JW3381	JW3343
JW3381	JW3381
JW3381	JW5702
JW3381	JW5772
JW3402	JW5787
JW3413	JW3413
JW3414	JW1172
JW3414	JW2551
JW3414	JW3348
JW3419	JW5413
JW3419	JW5505
JW3445	JW3445
JW3446	JW0033
JW3446	JW0043
JW3446	JW2433
JW3446	JW2642
JW3446	JW4331
JW3446	JW5300
JW3446	JW5361
JW3449	JW0043
JW3462	JW1857
JW3462	JW3462
JW3465	JW1119
JW3468	JW0959
JW3475	JW0183
JW3509	JW5381
JW3512	JW2118
JW3518	JW0195
JW3525	JW0781
JW3525	JW5300
JW3530	JW3531
JW3531	JW0059
JW3531	JW0594
JW3531	JW2965
JW3531	JW3530
JW3531	JW5543
JW3533	JW3533
JW3538	JW3949
JW3539	JW4181
JW3540	JW0043
JW3540	JW0519
JW3540	JW4361
JW3546	JW2947
JW3546	JW5543
JW3546	JW5772
JW3555	JW0033
JW3555	JW0043
JW3555	JW0282
JW3555	JW2136
JW3555	JW2683
JW3555	JW3152
JW3555	JW3455
JW3555	JW5543
JW3555	JW5607
JW3565	JW0043
JW3568	JW2316
JW3568	JW3568
JW3568	JW5702
JW3568	JW5826
JW3575	JW2408
JW3575	JW2627
JW3575	JW5702
JW3576	JW0043
JW3576	JW0453
JW3576	JW0835
JW3576	JW0878
JW3576	JW0968
JW3576	JW2161
JW3576	JW2947
JW3576	JW5772
JW3583	JW3583
JW3592	JW3592
JW3608	JW0709
JW3610	JW1870
JW3610	JW2280
JW3610	JW3098
JW3610	JW4342
JW3610	JW5434
JW3620	JW0234
JW3620	JW5404
JW3626	JW3626
JW3635	JW3626
JW3644	JW3011
JW3644	JW5125
JW3644	JW5300
JW3645	JW4342
JW3645	JW5381
JW3646	JW3646
JW3650	JW3000
JW3656	JW0983
JW3659	JW1394
JW3659	JW2973
JW3663	JW3663
JW3677	JW5300
JW3678	JW0167
JW3678	JW0635
JW3678	JW2169
JW3679	JW2358
JW3681	JW0115
JW3684	JW2875
JW3686	JW0466
JW3686	JW3686
JW3701	JW0453
JW3701	JW0459
JW3701	JW2433
JW3701	JW3701
JW3701	JW5125
JW3708	JW3708
JW3709	JW3709
JW3710	JW3709
