GTF2B 	C16orf13 	
ELF1 	C16orf42 	
USF1 	C16orf42 	
THAP1 	C16orf53 	
YY1 	C16orf53 	
YY1 	C16orf53 	
NRF1 	C16orf53 	
ELF1 	C16orf55 	
EGR1 	C16orf61 	
YY1 	C16orf62 	
YY1 	C16orf62 	
GABPA 	C16orf7 	
NFYB 	C16orf72 	
SRF 	C17orf101 	
ELF1 	C17orf37 	
USF1 	C17orf37 	
GABPA 	C17orf42 	
BDP1 	C17orf44 	
POLR3A 	C17orf44 	
GTF2B 	C17orf44 	
ELF1 	C17orf56 	
SP1 	C17orf56 	
SP2 	C17orf56 	
THAP1 	C17orf56 	
FOS 	C17orf56 	
NFYA 	C17orf56 	
NFYB 	C17orf56 	
E2F6 	C17orf57 	
BDP1 	C17orf59 	
POLR3A 	C17orf59 	
GTF2B 	C17orf59 	
ELF1 	C17orf62 	
MAFK 	C17orf63 	
NRF1 	C17orf63 	
SP2 	C17orf85 	
MYC 	C17orf86 	
MYC 	C17orf86 	
MYC 	C17orf86 	
MYC 	C17orf86 	
MYC 	C17orf86 	
MYC 	C17orf86 	
ELF1 	C17orf89 	
SP1 	C17orf89 	
SP2 	C17orf89 	
THAP1 	C17orf89 	
YY1 	C17orf89 	
YY1 	C17orf89 	
FOS 	C17orf89 	
