EGR1 	C11orf68 	
ELF1 	C11orf71 	
NRF1 	C11orf71 	
SIX5 	C11orf73 	
ZNF143 	C11orf73 	
GABPA 	C12orf10 	
CHD2 	C12orf11 	
MEF2A 	C12orf26 	
MEF2C 	C12orf26 	
SRF 	C12orf26 	
YY1 	C12orf26 	
CTCF 	C12orf26 	
CTCF 	C12orf26 	
NR2C2 	C12orf26 	
CTCF 	C12orf26 	
YY1 	C12orf43 	
ZNF143 	C12orf43 	
USF1 	C12orf49 	
BCL11A 	C12orf57 	
BCL3 	C12orf57 	
BCLAF1 	C12orf57 	
ETS1 	C12orf57 	
MEF2A 	C12orf57 	
MEF2C 	C12orf57 	
POU2F2 	C12orf57 	
PAX5 	C12orf57 	
PAX5 	C12orf57 	
POU2F2 	C12orf57 	
RAD21 	C12orf57 	
RXRA 	C12orf57 	
TCF12 	C12orf57 	
ZEB1 	C12orf57 	
CTCF 	C12orf57 	
EP300 	C12orf57 	
RFX5 	C12orf62 	
ELF1 	C12orf66 	
MEF2A 	C12orf77 	
MEF2C 	C12orf77 	
SRF 	C14orf1 	
CTCF 	C14orf176 	
CTCF 	C14orf176 	
CTCF 	C14orf176 	
BCLAF1 	C14orf181 	
MEF2A 	C14orf181 	
ZEB1 	C14orf181 	
CTCF 	C14orf2 	
CTCF 	C14orf2 	
SRF 	C14orf43 	
SRF 	C14orf43 	
GABPA 	C14orf80 	
SP1 	C14orf80 	
CTCF 	C14orf80 	
CTCF 	C14orf80 	
CTCF 	C14orf80 	
YY1 	C15orf23 	
ELF1 	C15orf24 	
YY1 	C15orf24 	
CTCF 	C15orf29 	
ATF3 	C15orf34 	
PAX5 	C15orf34 	
USF1 	C15orf34 	
FOS 	C15orf34 	
NFE2 	C15orf34 	
USF2 	C15orf34 	
CTCF 	C15orf40 	
CTCF 	C15orf40 	
ELF1 	C15orf41 	
FOS 	C15orf42 	
CTCF 	C15orf48 	
CTCF 	C15orf48 	
CTCF 	C15orf48 	
USF1 	C15orf57 	
ZNF143 	C16orf13 	
ZEB1 	C16orf3 	
ATF3 	C16orf42 	
USF1 	C16orf42 	
NFE2 	C16orf42 	
USF2 	C16orf42 	
USF1 	C16orf5 	
EBF1 	C16orf53 	
EBF1 	C16orf53 	
YY1 	C16orf53 	
EBF1 	C16orf53 	
NRF1 	C16orf53 	
EBF1 	C16orf54 	
EBF1 	C16orf54 	
EBF1 	C16orf54 	
EGR1 	C16orf61 	
YY1 	C16orf62 	
GABPA 	C16orf7 	
PBX3 	C16orf72 	
REST 	C17orf101 	
SRF 	C17orf101 	
SRF 	C17orf101 	
ELF1 	C17orf37 	
USF1 	C17orf37 	
USF1 	C17orf39 	
GABPA 	C17orf42 	
EP300 	C17orf44 	
NFE2 	C17orf49 	
CTCF 	C17orf53 	
ELF1 	C17orf56 	
PBX3 	C17orf56 	
SP1 	C17orf56 	
YY1 	C17orf56 	
FOS 	C17orf56 	
BATF 	C17orf59 	
EP300 	C17orf59 	
ELF1 	C17orf62 	
SPI1 	C17orf62 	
NRF1 	C17orf63 	
EGR1 	C17orf81 	
CTCF 	C17orf85 	
BATF 	C17orf87 	
BCL11A 	C17orf87 	
EBF1 	C17orf87 	
EBF1 	C17orf87 	
IRF4 	C17orf87 	
IRF4 	C17orf87 	
MEF2A 	C17orf87 	
MEF2C 	C17orf87 	
SPI1 	C17orf87 	
TCF12 	C17orf87 	
EBF1 	C17orf87 	
ELF1 	C17orf89 	
PBX3 	C17orf89 	
SP1 	C17orf89 	
YY1 	C17orf89 	
FOS 	C17orf89 	
ELF1 	C17orf90 	
GABPA 	C17orf90 	
PBX3 	C17orf90 	
SP1 	C17orf91 	
RAD21 	C17orf96 	
NRF1 	C17orf97 	
BCL11A 	C18orf1 	
TCF12 	C18orf1 	
USF1 	C18orf19 	
GABPA 	C18orf21 	
ELF1 	C18orf25 	
CTCF 	C18orf25 	
CTCF 	C18orf25 	
CTCF 	C18orf25 	
SIX5 	C18orf55 	
ZNF143 	C18orf55 	
SIX5 	C19orf20 	
YY1 	C19orf20 	
YY1 	C19orf20 	
CTCF 	C19orf20 	
PAX5 	C19orf23 	
PAX5 	C19orf23 	
EGR1 	C19orf24 	
REST 	C19orf30 	
EBF1 	C19orf36 	
EBF1 	C19orf36 	
EBF1 	C19orf36 	
SP1 	C19orf40 	
FOS 	C19orf40 	
SIX5 	C19orf44 	
ZNF143 	C19orf44 	
USF1 	C19orf47 	
NFE2 	C19orf47 	
USF2 	C19orf47 	
GABPA 	C19orf52 	
ZEB1 	C19orf52 	
ELF1 	C19orf53 	
GABPA 	C19orf53 	
SIX5 	C19orf53 	
ZNF143 	C19orf53 	
NFE2 	C19orf54 	
PBX3 	C19orf55 	
SP1 	C19orf55 	
FOS 	C19orf55 	
GABPA 	C19orf56 	
NRF1 	C19orf57 	
POU2F2 	C19orf6 	
POU2F2 	C19orf6 	
EP300 	C19orf6 	
ZNF143 	C19orf6 	
MEF2A 	C19orf61 	
PAX5 	C19orf61 	
PAX5 	C19orf61 	
NFKB1 	C19orf61 	
NFKB1 	C19orf61 	
NRF1 	C19orf61 	
SP1 	C19orf62 	
FOS 	C19orf62 	
NRF1 	C19orf63 	
SIX5 	C19orf70 	
USF1 	C19orf70 	
ZNF143 	C19orf70 	
RXRA 	C19orf73 	
CTCF 	C1QBP 	
CTCF 	C1QBP 	
CTCF 	C1QBP 	
CTCF 	C1QL4 	
CTCF 	C1RL 	
CTCF 	C1RL 	
ELF1 	C1orf103 	
EBF1 	C1orf109 	
EBF1 	C1orf109 	
NRF1 	C1orf124 	
ELF1 	C1orf131 	
YY1 	C1orf144 	
YY1 	C1orf144 	
CHD2 	C1orf151 	
