InteractorA	InteractorB
Q00684	P38283
P53183	P40318
Q04477	P40460
P0CG63	P32324
P32347	P39940
P33400	P43603
P40021	Q05080
Q03162	Q03465
P50101	P40318
P02829	P53043
P17967	P17967
Q04439	Q03497
P15891	Q06604
P47128	Q12311
Q03497	Q12163
P53281	P38266
P53145	P11710
P21827	P38041
Q12326	Q08409
P40314	P04456
Q05931	P38523
P0CG63	P15108
P0CF34	Q06833
Q01560	Q08409
P24869	P35734
P32793	Q06604
P06787	P33203
P43603	Q08412
P32793	P53189
Q02629	P38181
P12945	P01149
P36149	Q03784
P53750	P47068
P25335	P38041
EBI-11701334	P48567
P38729	P43582
P38289	P39743
Q03780	P39969
P36531	P32793
Q06102	P45976
P38266	P38822
P52286	Q12018
P45976	P29468
P29468	P45976
Q12125	Q12285
P0CG63	P05030
Q02630	Q06142
P14681	P14681
P32366	P32563
Q03497	P80667
EBI-11703618	Q12211
P47066	P39940
P53874	P33203
Q03497	P29366
Q07505	P22696
P25617	P33203
P0CG63	P54787
P0CF34	P40986
Q03919	P39940
Q04964	P43603
Q06142	P39705
P47137	P53076
P20095	Q06525
P0CS90	Q01852
Q04458	P33203
EBI-10821373	Q06106
Q02630	P35729
Q02872	P22696
Q05775	P33203
P25694	P25694
P53067	P38632
P11353	P22696
P43534	P39940
P11154	P39940
P32793	Q12168
Q99296	P53281
Q12306	Q06525
P53982	P39940
P53933	Q04439
P40558	P07264
P40959	P33203
Q06592	Q06592
P22082	P38074
O13531	P43582
P32642	P53323
P34077	P48837
P20095	P39940
P15274	P33203
EBI-11701296	Q12400
P53759	P39940
P33400	P80667
P32614	P43582
Q08109	P00729
Q12229	P39940
